"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
" 2";" 5";" 40.00";" 3.76";"informale";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"caro";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"sublime";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"dettaglio";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"crostata";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"testa";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"spartano";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"ristorazione";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"pazzesco";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"bisogno";"5.239955e-02"
" 5";"20";" 25.00";" 3.66";"migliore";"5.582871e-02"
" 3";"10";" 30.00";" 3.22";"originale";"7.263033e-02"
" 3";"10";" 30.00";" 3.22";"spazio";"7.263033e-02"
" 3";"10";" 30.00";" 3.22";"luogo";"7.263033e-02"
" 2";" 6";" 33.33";" 2.63";"richiesta";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"amante";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"stella";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"efficiente";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"aspetto";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"aspettativa";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"ricordo";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"prosciutto";"1.047232e-01"
" 2";" 6";" 33.33";" 2.63";"cotto";"1.047232e-01"
"14";"95";" 14.74";" 2.52";"buono";"1.125675e-01"
" 4";"17";" 23.53";" 2.37";"semplice";"1.239537e-01"
" 4";"17";" 23.53";" 2.37";"vista";"1.239537e-01"
" 4";"17";" 23.53";" 2.37";"lungo";"1.239537e-01"
" 6";"30";" 20.00";" 2.26";"casa";"1.329940e-01"
