"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"responsabile";0,007;0,485;0,469;0,315;0,469;0,485;0,44
"regalare";0,315;0,485;0,469;0,485;0,349;0,315;0,44
"puntuale";0,418;0,418;0,545;0,502;0,545;0,418;0,629
"profumare";0,502;0,418;0,545;0,502;0,545;0,418;0,37
"principale";0,007;0,485;0,469;0,315;0,469;0,485;0,44
"premettere";0,502;0,418;0,545;0,502;0,401;0,502;0,37
"preferito";0,418;0,418;0,401;0,031;0,401;0,418;0,062
"posizione";0,315;0,485;0,009;0,485;0,469;0,485;0,44
"porcino";0,485;0,315;0,469;0,007;0,469;0,485;0,44
"persone_che";0;0,502;0,401;0,418;0,401;0,418;0,37
"pera";0,418;0,418;0,401;0,502;0;0,418;0,37
"passione";0,485;0,485;0,469;0,485;0,469;0,315;0,016
"passabile";0,502;0,418;0,041;0,418;0,401;0,502;0,37
"partita";0,418;0,502;0,545;0,418;0,545;0,418;0,629
"parola";0,485;0,485;0,469;0,485;0,349;0,485;0,016
"pace";0,315;0,485;0,469;0,485;0,349;0,315;0,44
"occhio";0,418;0,502;0,401;0,418;0,545;0,502;0,629
"nutella";0,485;0,315;0,469;0,485;0,469;0,485;0,016
"negativo";0,315;0,485;0,349;0,485;0,349;0,485;0,44
"mignon";0,485;0,485;0,469;0,485;0,469;0,315;0,016
"meraviglioso";0,485;0,485;0,469;0,315;0,349;0,315;0,44
"menta";0,485;0,485;0,349;0,315;0,349;0,485;0,44
"maritozzo";0,502;0,418;0,401;0,418;0,401;0,502;0,062
"mantenere";0,485;0,485;0,469;0,007;0,469;0,485;0,416
"mani|mano";0,315;0,485;0,469;0,485;0,469;0,485;0,016
"ma_questo";0,007;0,485;0,469;0,485;0,349;0,485;0,44
"lucere";0,315;0,315;0,469;0,485;0,469;0,485;0,416
"localino";0,485;0,485;0,469;0,485;0,469;0;0,44
"limitato";0,485;0,315;0,009;0,485;0,469;0,485;0,44
"libero";0,315;0,315;0,349;0,485;0,469;0,485;0,44
"liberare";0,315;0,315;0,349;0,485;0,469;0,485;0,44
"legno";0,502;0,418;0,401;0,418;0,041;0,502;0,37
"latta|latte";0,485;0,485;0,469;0,485;0,349;0,485;0,016
"largo";0,502;0,418;0,545;0,418;0,401;0,502;0,629
"insipido";0,418;0,418;0,545;0,502;0,545;0,502;0,37
"innovativo";0,502;0,418;0,545;0,418;0,401;0,502;0,629
"guardare";0,485;0,315;0,469;0,485;0,469;0,315;0,416
"grana";0,485;0,007;0,469;0,315;0,469;0,485;0,44
"giudizio";0,502;0,502;0,545;0,502;0,401;0,418;0,37
"giudeo";0,418;0,418;0,545;0;0,401;0,418;0,37
"giornata";0,485;0,485;0,349;0,485;0,469;0,007;0,44
"genere";0,418;0,418;0,545;0,031;0,401;0,502;0,37
"gelaterie";0,418;0,418;0,401;0,418;0,401;0,418;0
"fretta";0,418;0,418;0,545;0;0,401;0,418;0,37
"freschezza";0,315;0,485;0,469;0,485;0,469;0,485;0,016
"forma";0,485;0,485;0,469;0,007;0,469;0,485;0,416
"filo";0,315;0,485;0,469;0,315;0,349;0,485;0,44
"fettuccina";0,418;0,418;0,401;0;0,401;0,418;0,37
"evento";0,031;0,418;0,401;0,502;0,545;0,418;0,37
"estremamente";0,502;0,031;0,401;0,418;0,545;0,418;0,37
"essenziale";0,485;0,315;0,469;0,315;0,349;0,485;0,44
"esposizione";0,485;0,485;0,469;0,485;0,009;0,485;0,416
"eseguire";0,418;0,502;0,545;0,031;0,401;0,418;0,37
"entusiasmare";0,485;0,485;0,469;0;0,469;0,485;0,44
"enorme";0,315;0,315;0,349;0,485;0,469;0,485;0,44
"duro";0,418;0,502;0,401;0,502;0,401;0,502;0,629
"divertente";0,485;0,485;0,469;0,315;0,349;0,485;0,416
"direttore";0;0,418;0,401;0,418;0,401;0,418;0,37
"digeribile";0,418;0;0,401;0,502;0,401;0,418;0,37
"delusione";0,485;0,485;0,349;0,315;0,349;0,485;0,44
"definire";0,502;0,418;0,545;0,031;0,401;0,418;0,37
"culinario";0,315;0,485;0,469;0,315;0,349;0,485;0,44
"crostino";0,485;0,315;0,469;0,315;0,469;0,315;0,44
"creativo";0,502;0,418;0,545;0,418;0,545;0,418;0,629
"coprire";0,502;0,418;0,041;0,502;0,401;0,418;0,37
"contenere";0,418;0,031;0,401;0,502;0,545;0,418;0,37
"competenza";0,007;0,485;0,469;0,315;0,469;0,485;0,44
"competente";0,502;0,418;0,401;0,418;0;0,418;0,37
"compagno";0,315;0,007;0,469;0,485;0,469;0,485;0,44
"comodo";0,502;0,502;0,401;0,502;0,401;0,418;0,629
"caratteristico";0,418;0,418;0;0,418;0,401;0,418;0,629
"calma";0,418;0,418;0,401;0,502;0,545;0,502;0,629
"caffetteria";0,502;0,418;0,401;0,418;0,401;0;0,37
"buttare";0,502;0,418;0,545;0,418;0,401;0,418;0,062
"bucatino";0,418;0,418;0,041;0,502;0,545;0,418;0,37
"bocca";0,418;0,502;0,401;0,502;0,401;0,502;0,629
"biologico";0,485;0,485;0,469;0,485;0,469;0;0,44
"benvenuto";0,418;0,418;0,041;0,502;0,545;0,418;0,37
"avocado";0,315;0,485;0,469;0,485;0,349;0,315;0,44
"arte";0,485;0,485;0,349;0,315;0,349;0,485;0,44
"angolo";0,485;0,485;0,469;0,485;0,469;0;0,44
"alimento";0,418;0,502;0,401;0,502;0,041;0,418;0,37
"adeguato";0,485;0,485;0,349;0,007;0,469;0,485;0,44
"abbinamento";0,485;0,315;0,469;0,315;0,469;0,315;0,44
