"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ritrovare";1,008;-0,488;0,877;-0,488;-0,523;1,008;-0,597
"ristoratore";-0,488;-0,488;6,739;-0,488;-0,523;-0,488;0,661
"ristorantino";-0,488;1,008;-0,523;1,008;0,877;-0,488;-0,597
"rispetto_alla";-0,488;-0,488;18,111;-0,488;-0,523;-0,488;-0,597
"recensire";-0,488;-0,488;0,877;1,008;0,877;-0,488;-0,597
"rappresentare";1,008;-0,488;0,877;1,008;-0,523;-0,488;-0,597
"ragù";-0,488;1,008;-0,523;1,008;-0,523;-0,488;0,661
"pochissimo";1,008;-0,488;0,877;-0,488;-0,523;-0,488;0,661
"piramide";1,008;-0,488;6,739;-0,488;-0,523;-0,488;-0,597
"pienamente";-0,488;1,008;0,877;-0,488;0,877;-0,488;-0,597
"piacevolissima";-0,488;-0,488;-0,523;-0,488;0,877;1,008;0,661
"petto";-0,488;-0,488;6,739;-0,488;-0,523;-0,488;0,661
"personale_che";7,324;-0,488;0,877;-0,488;-0,523;-0,488;-0,597
"perplesso";-0,488;-0,488;0,877;-0,488;0,877;1,008;-0,597
"periodo";-0,488;-0,488;0,877;-0,488;0,877;-0,488;0,661
"parcheggiare";7,324;-0,488;-0,523;1,008;-0,523;-0,488;-0,597
"padrone";1,008;1,008;-0,523;-0,488;-0,523;1,008;-0,597
"oro";1,008;-0,488;-0,523;1,008;-0,523;-0,488;0,661
