"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
" 0";" 18";" 0.00";" -3.38";"supplì";"6.592518e-02"
" 0";" 18";" 0.00";" -3.38";"leggero";"6.592518e-02"
" 0";" 18";" 0.00";" -3.38";"quantità";"6.592518e-02"
" 0";" 17";" 0.00";" -3.16";"trattoria";"7.529372e-02"
" 0";" 17";" 0.00";" -3.16";"pizzeria";"7.529372e-02"
" 0";" 17";" 0.00";" -3.16";"nuovo";"7.529372e-02"
" 0";" 17";" 0.00";" -3.16";"freddo";"7.529372e-02"
" 0";" 17";" 0.00";" -3.16";"possibilità";"7.529372e-02"
"12";"104";"11.54";" -2.95";"ottimo";"8.612787e-02"
" 0";" 16";" 0.00";" -2.95";"stile";"8.589115e-02"
" 2";" 36";" 5.56";" -2.92";"bello";"8.752145e-02"
" 1";" 26";" 3.85";" -2.75";"conto";"9.700273e-02"
" 0";" 15";" 0.00";" -2.74";"patata";"9.787825e-02"
" 0";" 15";" 0.00";" -2.74";"pomodoro";"9.787825e-02"
" 1";" 25";" 4.00";" -2.54";"birra";"1.109272e-01"
" 1";" 25";" 4.00";" -2.54";"gustoso";"1.109272e-01"
" 0";" 14";" 0.00";" -2.53";"polpetta";"1.114409e-01"
" 0";" 14";" 0.00";" -2.53";"carta";"1.114409e-01"
" 0";" 14";" 0.00";" -2.53";"gentilezza";"1.114409e-01"
" 0";" 14";" 0.00";" -2.53";"staff";"1.114409e-01"
" 2";" 34";" 5.88";" -2.49";"simpatico";"1.148397e-01"
" 0";" 13";" 0.00";" -2.33";"particolare";"1.267957e-01"
" 0";" 13";" 0.00";" -2.33";"accoglienza";"1.267957e-01"
" 0";" 13";" 0.00";" -2.33";"ricco";"1.267957e-01"
" 0";" 13";" 0.00";" -2.33";"resto";"1.267957e-01"
" 0";" 12";" 0.00";" -2.13";"attesa";"1.441974e-01"
" 0";" 12";" 0.00";" -2.13";"bravo";"1.441974e-01"
" 0";" 12";" 0.00";" -2.13";"prenotazione";"1.441974e-01"
"*****";"*";"*";"*";"*";"*"
"3";"45";"6.67";"-3.05";"due";"0.08076028"
"0";"12";"0.00";"-2.13";"una_volta";"0.14419736"
"2";"32";"6.25";"-2.08";"qualche";"0.14908655"
"*";"*";"*";"*";"*";"*"
"0";"15";"0";"-2.74";"*RATING_4.6";"0.09787825"
